date,product_id,product_name,category,price,base_price,cost_price,competitor_price,discount_percent,stock_level,rating,review_count,ad_spend_usd,holiday_effect,customer_segment,season,month,day_of_week,day_of_week_name,day_of_month,is_weekend,historical_demand_7d,historical_demand_30d,demand_units,revenue,profit
2025-01-01,HOSP_002,Executive Skyline Suite (Per Night),Hospitality & Stays,260.03,350.0,90.0,361.98,25.0,594,4.22,436,219.0,0.0,Budget,Winter,1,2,Wednesday,1,0,15.0,15.0,44,11441.32,7481.32
2025-01-01,RIDE_001,Standard Urban Commute Ride (10 km),Rideshare & Mobility,18.7,24.5,8.0,25.09,25.0,513,4.8,549,140.82,0.0,Premium,Winter,1,2,Wednesday,1,0,250.0,250.0,378,7068.6,4044.6
2025-01-01,RIDE_002,Premium Black Airport Transfer,Rideshare & Mobility,68.16,65.0,22.0,61.93,0.0,672,4.3,561,206.4,0.0,Budget,Winter,1,2,Wednesday,1,0,70.0,70.0,98,6679.68,4523.68
2025-01-02,APP_001,Premium Merino Wool Sweater,Apparel & Fashion,77.72,79.99,28.0,76.07,0.0,280,4.23,534,190.14,0.0,Standard,Winter,1,3,Thursday,2,0,55.0,55.0,74,5751.28,3679.28
2025-01-02,APP_002,Breathable Performance Running Shoes,Apparel & Fashion,114.27,119.99,42.0,124.5,0.0,448,4.87,407,173.94,0.0,Premium,Winter,1,3,Thursday,2,0,75.0,75.0,112,12798.24,8094.24
2025-01-02,APP_003,Classic Waterproof Trench Coat,Apparel & Fashion,147.31,149.99,55.0,153.32,0.0,381,4.01,384,187.15,0.0,Standard,Winter,1,3,Thursday,2,0,25.0,25.0,39,5745.09,3600.09
2025-01-02,ELEC_001,Pro Wireless Noise-Cancelling Headphones,Electronics,167.01,199.99,85.0,203.92,20.0,248,4.0,455,150.89,0.0,Standard,Winter,1,3,Thursday,2,0,45.0,45.0,93,15531.93,7626.93
2025-01-02,ELEC_002,Ultra HD 4K Smart TV 55-inch,Electronics,528.54,549.99,280.0,537.96,0.0,561,4.83,554,129.22,0.0,Standard,Winter,1,3,Thursday,2,0,20.0,20.0,32,16913.28,7953.28
2025-01-02,ELEC_003,Smart Fitness Watch Gen-4,Electronics,135.31,129.99,50.0,137.09,0.0,431,4.57,428,74.29,0.0,Standard,Winter,1,3,Thursday,2,0,60.0,60.0,80,10824.8,6824.8
2025-01-02,ELEC_004,Ergonomic Mechanical Keyboard,Electronics,92.15,89.99,35.0,86.77,0.0,619,4.87,549,200.63,0.0,Enterprise,Winter,1,3,Thursday,2,0,40.0,40.0,37,3409.55,2114.55
2025-01-02,HOME_001,Espresso Machine & Milk Frother,Home & Living,164.84,159.99,65.0,144.43,0.0,592,4.58,593,169.01,0.0,Standard,Winter,1,3,Thursday,2,0,30.0,30.0,33,5439.72,3294.72
2025-01-02,HOME_002,Cordless Handheld Vacuum Cleaner,Home & Living,103.49,99.99,40.0,97.8,0.0,263,4.17,527,174.27,0.0,Premium,Winter,1,3,Thursday,2,0,45.0,45.0,50,5174.5,3174.5
2025-01-02,HOSP_001,Deluxe City Center King Room (Per Night),Hospitality & Stays,149.8,175.0,45.0,173.93,15.0,538,4.53,466,172.21,0.0,Standard,Winter,1,3,Thursday,2,0,85.0,85.0,195,29211.0,20436.0
2025-01-02,HOSP_002,Executive Skyline Suite (Per Night),Hospitality & Stays,354.66,350.0,90.0,330.79,0.0,571,4.25,566,96.76,0.0,Budget,Winter,1,3,Thursday,2,0,15.0,15.0,23,8157.18,6087.18
2025-01-02,RIDE_001,Standard Urban Commute Ride (10 km),Rideshare & Mobility,21.26,24.5,8.0,23.54,15.0,82,4.54,489,194.78,0.0,Premium,Winter,1,3,Thursday,2,0,250.0,250.0,431,9163.06,5715.06
2025-01-02,RIDE_002,Premium Black Airport Transfer,Rideshare & Mobility,54.98,65.0,22.0,66.73,15.0,555,4.48,515,128.22,0.0,Premium,Winter,1,3,Thursday,2,0,70.0,70.0,117,6432.66,3858.66
2025-01-03,APP_001,Premium Merino Wool Sweater,Apparel & Fashion,82.04,79.99,28.0,82.09,0.0,200,4.05,533,100.2,0.0,Budget,Winter,1,4,Friday,3,0,55.0,55.0,80,6563.2,4323.2
2025-01-03,APP_002,Breathable Performance Running Shoes,Apparel & Fashion,124.77,119.99,42.0,128.48,0.0,356,4.16,472,167.69,0.0,Budget,Winter,1,4,Friday,3,0,75.0,75.0,92,11478.84,7614.84
2025-01-03,APP_003,Classic Waterproof Trench Coat,Apparel & Fashion,142.07,149.99,55.0,163.98,5.0,336,4.81,532,79.64,0.0,Standard,Winter,1,4,Friday,3,0,25.0,25.0,45,6393.15,3918.15
2025-01-03,ELEC_001,Pro Wireless Noise-Cancelling Headphones,Electronics,197.64,199.99,85.0,197.48,0.0,182,4.88,495,195.37,0.0,Standard,Winter,1,4,Friday,3,0,45.0,45.0,66,13044.24,7434.24
2025-01-03,ELEC_002,Ultra HD 4K Smart TV 55-inch,Electronics,545.25,549.99,280.0,594.22,0.0,533,4.18,521,153.72,0.0,Standard,Winter,1,4,Friday,3,0,20.0,20.0,28,15267.0,7427.0
2025-01-03,ELEC_003,Smart Fitness Watch Gen-4,Electronics,130.03,129.99,50.0,131.98,0.0,356,4.07,441,88.74,0.0,Premium,Winter,1,4,Friday,3,0,60.0,60.0,75,9752.25,6002.25
2025-01-03,ELEC_004,Ergonomic Mechanical Keyboard,Electronics,81.24,89.99,35.0,88.51,10.0,556,4.18,526,188.34,0.0,Standard,Winter,1,4,Friday,3,0,40.0,40.0,63,5118.12,2913.12
2025-01-03,HOME_001,Espresso Machine & Milk Frother,Home & Living,165.41,159.99,65.0,158.7,0.0,562,4.09,474,205.79,0.0,Premium,Winter,1,4,Friday,3,0,30.0,30.0,30,4962.3,3012.3
2025-01-03,HOME_002,Cordless Handheld Vacuum Cleaner,Home & Living,102.89,99.99,40.0,92.06,0.0,204,4.02,506,183.81,0.0,Budget,Winter,1,4,Friday,3,0,45.0,45.0,59,6070.51,3710.51
2025-01-03,HOSP_001,Deluxe City Center King Room (Per Night),Hospitality & Stays,169.08,175.0,45.0,174.13,0.0,395,4.36,546,90.55,0.0,Budget,Winter,1,4,Friday,3,0,85.0,85.0,143,24178.44,17743.44
2025-01-03,HOSP_002,Executive Skyline Suite (Per Night),Hospitality & Stays,341.08,350.0,90.0,333.33,0.0,546,4.61,438,138.94,0.0,Budget,Winter,1,4,Friday,3,0,15.0,15.0,25,8527.0,6277.0
2025-01-03,RIDE_001,Standard Urban Commute Ride (10 km),Rideshare & Mobility,24.11,24.5,8.0,24.05,0.0,718,4.64,530,130.83,0.0,Premium,Winter,1,4,Friday,3,0,250.0,250.0,82,1977.02,1321.02
2025-01-03,RIDE_002,Premium Black Airport Transfer,Rideshare & Mobility,67.43,65.0,22.0,71.96,0.0,433,4.35,512,126.08,0.0,Standard,Winter,1,4,Friday,3,0,70.0,70.0,122,8226.46,5542.46
2025-01-04,APP_001,Premium Merino Wool Sweater,Apparel & Fashion,65.9,79.99,28.0,84.36,20.0,511,4.11,520,89.58,0.0,Budget,Winter,1,5,Saturday,4,1,55.0,55.0,130,8567.0,4927.0
2025-01-04,APP_002,Breathable Performance Running Shoes,Apparel & Fashion,120.27,119.99,42.0,118.35,0.0,267,4.33,369,128.51,0.0,Standard,Winter,1,5,Saturday,4,1,75.0,75.0,89,10704.03,6966.03
2025-01-04,APP_003,Classic Waterproof Trench Coat,Apparel & Fashion,156.16,149.99,55.0,140.6,0.0,300,4.76,507,78.39,0.0,Budget,Winter,1,5,Saturday,4,1,25.0,25.0,36,5621.76,3641.76
2025-01-04,ELEC_001,Pro Wireless Noise-Cancelling Headphones,Electronics,201.26,199.99,85.0,197.06,0.0,127,4.35,504,181.17,0.0,Standard,Winter,1,5,Saturday,4,1,45.0,45.0,55,11069.3,6394.3
2025-01-04,ELEC_002,Ultra HD 4K Smart TV 55-inch,Electronics,560.2,549.99,280.0,545.06,0.0,510,4.82,442,167.55,0.0,Premium,Winter,1,5,Saturday,4,1,20.0,20.0,23,12884.6,6444.6
2025-01-04,ELEC_003,Smart Fitness Watch Gen-4,Electronics,114.25,129.99,50.0,121.32,10.0,257,4.69,491,124.63,0.0,Standard,Winter,1,5,Saturday,4,1,60.0,60.0,99,11310.75,6360.75
2025-01-04,ELEC_004,Ergonomic Mechanical Keyboard,Electronics,92.41,89.99,35.0,94.54,0.0,490,4.14,430,174.54,0.0,Budget,Winter,1,5,Saturday,4,1,40.0,40.0,66,6099.06,3789.06
2025-01-04,HOME_001,Espresso Machine & Milk Frother,Home & Living,155.24,159.99,65.0,168.39,0.0,513,4.29,424,205.51,0.0,Standard,Winter,1,5,Saturday,4,1,30.0,30.0,49,7606.76,4421.76
2025-01-04,HOME_002,Cordless Handheld Vacuum Cleaner,Home & Living,98.66,99.99,40.0,107.77,5.0,125,4.78,536,149.05,0.0,Budget,Winter,1,5,Saturday,4,1,45.0,45.0,79,7794.14,4634.14
2025-01-04,HOSP_001,Deluxe City Center King Room (Per Night),Hospitality & Stays,195.79,175.0,45.0,187.66,0.0,258,4.84,531,151.39,0.0,Budget,Winter,1,5,Saturday,4,1,85.0,85.0,137,26823.23,20658.23
2025-01-04,HOSP_002,Executive Skyline Suite (Per Night),Hospitality & Stays,394.27,350.0,90.0,355.27,0.0,524,4.27,482,118.93,0.0,Budget,Winter,1,5,Saturday,4,1,15.0,15.0,22,8673.94,6693.94
2025-01-04,RIDE_001,Standard Urban Commute Ride (10 km),Rideshare & Mobility,25.2,24.5,8.0,25.96,0.0,342,4.72,525,131.7,0.0,Premium,Winter,1,5,Saturday,4,1,250.0,250.0,376,9475.2,6467.2
2025-01-04,RIDE_002,Premium Black Airport Transfer,Rideshare & Mobility,56.02,65.0,22.0,64.08,10.0,286,4.68,474,118.33,0.0,Premium,Winter,1,5,Saturday,4,1,70.0,70.0,147,8234.94,5000.94
2025-01-05,APP_001,Premium Merino Wool Sweater,Apparel & Fashion,79.38,79.99,28.0,81.81,0.0,426,4.76,495,187.95,0.0,Budget,Winter,1,6,Sunday,5,1,55.0,55.0,85,6747.3,4367.3
2025-01-05,APP_002,Breathable Performance Running Shoes,Apparel & Fashion,118.55,119.99,42.0,116.79,0.0,155,4.32,525,201.4,0.0,Budget,Winter,1,6,Sunday,5,1,75.0,75.0,112,13277.6,8573.6
2025-01-05,APP_003,Classic Waterproof Trench Coat,Apparel & Fashion,146.02,149.99,55.0,162.25,0.0,251,4.84,498,168.87,0.0,Budget,Winter,1,6,Sunday,5,1,25.0,25.0,49,7154.98,4459.98
2025-01-05,ELEC_001,Pro Wireless Noise-Cancelling Headphones,Electronics,193.64,199.99,85.0,196.31,0.0,652,4.68,526,94.88,0.0,Standard,Winter,1,6,Sunday,5,1,45.0,45.0,65,12586.6,7061.6
2025-01-05,ELEC_002,Ultra HD 4K Smart TV 55-inch,Electronics,526.81,549.99,280.0,582.55,0.0,479,4.67,522,157.77,0.0,Standard,Winter,1,6,Sunday,5,1,20.0,20.0,31,16331.11,7651.11
2025-01-05,ELEC_003,Smart Fitness Watch Gen-4,Electronics,118.86,129.99,50.0,126.28,10.0,172,4.46,449,200.38,0.0,Premium,Winter,1,6,Sunday,5,1,60.0,60.0,85,10103.1,5853.1
2025-01-05,ELEC_004,Ergonomic Mechanical Keyboard,Electronics,89.52,89.99,35.0,87.5,0.0,432,4.31,573,192.65,0.0,Budget,Winter,1,6,Sunday,5,1,40.0,40.0,58,5192.16,3162.16
2025-01-05,HOME_001,Espresso Machine & Milk Frother,Home & Living,159.8,159.99,65.0,164.23,0.0,468,4.41,562,128.39,0.0,Budget,Winter,1,6,Sunday,5,1,30.0,30.0,45,7191.0,4266.0
2025-01-05,HOME_002,Cordless Handheld Vacuum Cleaner,Home & Living,97.55,99.99,40.0,96.76,0.0,644,4.86,535,124.18,0.0,Budget,Winter,1,6,Sunday,5,1,45.0,45.0,76,7413.8,4373.8
2025-01-05,HOSP_001,Deluxe City Center King Room (Per Night),Hospitality & Stays,205.5,175.0,45.0,176.48,0.0,172,4.47,519,124.43,0.0,Standard,Winter,1,6,Sunday,5,1,85.0,85.0,86,17673.0,13803.0
2025-01-05,HOSP_002,Executive Skyline Suite (Per Night),Hospitality & Stays,349.06,350.0,90.0,377.06,10.0,496,4.44,564,173.46,0.0,Standard,Winter,1,6,Sunday,5,1,15.0,15.0,28,9773.68,7253.68
2025-01-05,RIDE_001,Standard Urban Commute Ride (10 km),Rideshare & Mobility,25.6,24.5,8.0,22.91,0.0,497,4.52,555,130.67,0.0,Standard,Winter,1,6,Sunday,5,1,250.0,250.0,342,8755.2,6019.2
2025-01-05,RIDE_002,Premium Black Airport Transfer,Rideshare & Mobility,64.61,65.0,22.0,62.5,0.0,171,4.26,560,130.82,0.0,Budget,Winter,1,6,Sunday,5,1,70.0,70.0,115,7430.15,4900.15
2025-01-06,APP_001,Premium Merino Wool Sweater,Apparel & Fashion,83.53,79.99,28.0,78.57,0.0,357,4.19,564,152.37,0.0,Budget,Winter,1,0,Monday,6,0,55.0,55.0,69,5763.57,3831.57
2025-01-06,APP_002,Breathable Performance Running Shoes,Apparel & Fashion,122.61,119.99,42.0,134.16,0.0,454,4.49,511,203.72,0.0,Budget,Winter,1,0,Monday,6,0,75.0,75.0,116,14222.76,9350.76
2025-01-06,APP_003,Classic Waterproof Trench Coat,Apparel & Fashion,157.38,149.99,55.0,143.27,0.0,227,4.33,523,221.46,0.0,Premium,Winter,1,0,Monday,6,0,25.0,25.0,24,3777.12,2457.12
2025-01-06,ELEC_001,Pro Wireless Noise-Cancelling Headphones,Electronics,208.52,199.99,85.0,198.23,0.0,603,4.65,570,179.83,0.0,Standard,Winter,1,0,Monday,6,0,45.0,45.0,49,10217.48,6052.48
2025-01-06,ELEC_002,Ultra HD 4K Smart TV 55-inch,Electronics,560.48,549.99,280.0,555.67,0.0,452,4.54,546,167.67,0.0,Standard,Winter,1,0,Monday,6,0,20.0,20.0,27,15132.96,7572.96
2025-01-06,ELEC_003,Smart Fitness Watch Gen-4,Electronics,114.89,129.99,50.0,123.47,10.0,684,4.38,507,122.56,0.0,Budget,Winter,1,0,Monday,6,0,60.0,60.0,110,12637.9,7137.9
2025-01-06,ELEC_004,Ergonomic Mechanical Keyboard,Electronics,75.57,89.99,35.0,90.23,20.0,372,4.44,533,152.16,0.0,Premium,Winter,1,0,Monday,6,0,40.0,40.0,60,4534.2,2434.2
2025-01-06,HOME_001,Espresso Machine & Milk Frother,Home & Living,157.6,159.99,65.0,149.95,0.0,427,4.43,537,177.87,0.0,Standard,Winter,1,0,Monday,6,0,30.0,30.0,41,6461.6,3796.6
2025-01-06,HOME_002,Cordless Handheld Vacuum Cleaner,Home & Living,95.23,99.99,40.0,102.28,0.0,576,4.35,526,61.19,0.0,Standard,Winter,1,0,Monday,6,0,45.0,45.0,68,6475.64,3755.64
2025-01-06,HOSP_001,Deluxe City Center King Room (Per Night),Hospitality & Stays,181.35,175.0,45.0,176.31,0.0,739,4.47,543,200.75,0.0,Standard,Winter,1,0,Monday,6,0,85.0,85.0,97,17590.95,13225.95
2025-01-06,HOSP_002,Executive Skyline Suite (Per Night),Hospitality & Stays,337.54,350.0,90.0,351.33,0.0,477,4.31,497,107.54,0.0,Premium,Winter,1,0,Monday,6,0,15.0,15.0,19,6413.26,4703.26
2025-01-06,RIDE_001,Standard Urban Commute Ride (10 km),Rideshare & Mobility,24.25,24.5,8.0,25.94,0.0,784,4.35,556,212.91,0.0,Standard,Winter,1,0,Monday,6,0,250.0,250.0,459,11130.75,7458.75
2025-01-06,RIDE_002,Premium Black Airport Transfer,Rideshare & Mobility,62.29,65.0,22.0,60.55,0.0,86,4.53,485,215.78,0.0,Enterprise,Winter,1,0,Monday,6,0,70.0,70.0,85,5294.65,3424.65
2025-01-07,APP_001,Premium Merino Wool Sweater,Apparel & Fashion,79.44,79.99,28.0,91.12,0.0,269,4.1,551,160.42,0.0,Budget,Winter,1,1,Tuesday,7,0,86.57,55.0,88,6990.72,4526.72
2025-01-07,APP_002,Breathable Performance Running Shoes,Apparel & Fashion,114.43,119.99,42.0,121.59,0.0,343,4.73,443,136.97,0.0,Standard,Winter,1,1,Tuesday,7,0,103.0,75.0,111,12701.73,8039.73
2025-01-07,APP_003,Classic Waterproof Trench Coat,Apparel & Fashion,144.49,149.99,55.0,153.87,0.0,192,4.45,478,122.87,0.0,Premium,Winter,1,1,Tuesday,7,0,37.57,25.0,35,5057.15,3132.15
2025-01-07,ELEC_001,Pro Wireless Noise-Cancelling Headphones,Electronics,209.29,199.99,85.0,202.62,0.0,546,4.55,594,111.88,0.0,Budget,Winter,1,1,Tuesday,7,0,63.71,45.0,57,11929.53,7084.53
2025-01-07,ELEC_002,Ultra HD 4K Smart TV 55-inch,Electronics,529.38,549.99,280.0,583.34,0.0,423,4.18,486,177.53,0.0,Standard,Winter,1,1,Tuesday,7,0,27.29,20.0,29,15352.02,7232.02
2025-01-07,ELEC_003,Smart Fitness Watch Gen-4,Electronics,127.05,129.99,50.0,134.98,0.0,585,4.72,550,181.6,0.0,Budget,Winter,1,1,Tuesday,7,0,90.71,60.0,99,12577.95,7627.95
2025-01-07,ELEC_004,Ergonomic Mechanical Keyboard,Electronics,87.78,89.99,35.0,93.06,0.0,304,4.78,544,147.17,0.0,Budget,Winter,1,1,Tuesday,7,0,58.71,40.0,68,5969.04,3589.04
2025-01-07,HOME_001,Espresso Machine & Milk Frother,Home & Living,142.23,159.99,65.0,158.2,15.0,377,4.63,478,232.16,0.0,Standard,Winter,1,1,Tuesday,7,0,41.57,30.0,50,7111.5,3861.5
2025-01-07,HOME_002,Cordless Handheld Vacuum Cleaner,Home & Living,89.25,99.99,40.0,100.69,10.0,478,4.37,477,165.27,0.0,Budget,Winter,1,1,Tuesday,7,0,71.43,45.0,98,8746.5,4826.5
2025-01-07,HOSP_001,Deluxe City Center King Room (Per Night),Hospitality & Stays,172.44,175.0,45.0,183.61,0.0,604,4.14,466,203.59,0.0,Standard,Winter,1,1,Tuesday,7,0,132.71,85.0,135,23279.4,17204.4
2025-01-07,HOSP_002,Executive Skyline Suite (Per Night),Hospitality & Stays,346.63,350.0,90.0,351.31,0.0,460,4.26,460,125.04,0.0,Premium,Winter,1,1,Tuesday,7,0,25.43,15.0,17,5892.71,4362.71
2025-01-07,RIDE_001,Standard Urban Commute Ride (10 km),Rideshare & Mobility,23.52,24.5,8.0,25.99,0.0,404,4.14,476,106.48,0.0,Budget,Winter,1,1,Tuesday,7,0,349.71,250.0,380,8937.6,5897.6
2025-01-07,RIDE_002,Premium Black Airport Transfer,Rideshare & Mobility,63.29,65.0,22.0,63.84,0.0,573,4.03,482,143.51,0.0,Standard,Winter,1,1,Tuesday,7,0,110.0,70.0,86,5442.94,3550.94
2025-01-08,APP_001,Premium Merino Wool Sweater,Apparel & Fashion,61.19,79.99,28.0,79.81,25.0,102,4.41,523,103.36,0.0,Budget,Winter,1,2,Wednesday,8,0,99.0,55.0,167,10218.73,5542.73
2025-01-08,APP_002,Breathable Performance Running Shoes,Apparel & Fashion,117.53,119.99,42.0,129.96,0.0,239,4.05,489,122.9,0.0,Premium,Winter,1,2,Wednesday,8,0,105.14,75.0,104,12223.12,7855.12
2025-01-08,APP_003,Classic Waterproof Trench Coat,Apparel & Fashion,154.23,149.99,55.0,138.41,0.0,163,4.84,562,207.75,0.0,Standard,Winter,1,2,Wednesday,8,0,36.71,25.0,29,4472.67,2877.67
2025-01-08,ELEC_001,Pro Wireless Noise-Cancelling Headphones,Electronics,195.86,199.99,85.0,199.55,0.0,496,4.01,500,175.45,0.0,Premium,Winter,1,2,Wednesday,8,0,62.14,45.0,50,9793.0,5543.0
2025-01-08,ELEC_002,Ultra HD 4K Smart TV 55-inch,Electronics,529.53,549.99,280.0,566.0,0.0,396,4.31,521,69.39,0.0,Standard,Winter,1,2,Wednesday,8,0,28.14,20.0,27,14297.31,6737.31
2025-01-08,ELEC_003,Smart Fitness Watch Gen-4,Electronics,132.23,129.99,50.0,121.96,0.0,519,4.48,590,142.96,0.0,Premium,Winter,1,2,Wednesday,8,0,87.71,60.0,66,8727.18,5427.18
2025-01-08,ELEC_004,Ergonomic Mechanical Keyboard,Electronics,85.95,89.99,35.0,99.43,0.0,236,4.67,543,238.26,0.0,Standard,Winter,1,2,Wednesday,8,0,60.0,40.0,68,5844.6,3464.6
2025-01-08,HOME_001,Espresso Machine & Milk Frother,Home & Living,149.52,159.99,65.0,160.21,5.0,318,4.69,475,179.29,0.0,Budget,Winter,1,2,Wednesday,8,0,43.86,30.0,59,8821.68,4986.68
2025-01-08,HOME_002,Cordless Handheld Vacuum Cleaner,Home & Living,97.75,99.99,40.0,100.42,0.0,415,4.71,477,153.82,0.0,Budget,Winter,1,2,Wednesday,8,0,70.43,45.0,63,6158.25,3638.25
2025-01-08,HOSP_001,Deluxe City Center King Room (Per Night),Hospitality & Stays,181.46,175.0,45.0,176.26,0.0,489,4.84,506,155.08,0.0,Standard,Winter,1,2,Wednesday,8,0,129.71,85.0,115,20867.9,15692.9
2025-01-08,HOSP_002,Executive Skyline Suite (Per Night),Hospitality & Stays,343.93,350.0,90.0,358.12,0.0,442,4.49,486,107.71,0.0,Premium,Winter,1,2,Wednesday,8,0,21.71,15.0,18,6190.74,4570.74
2025-01-08,RIDE_001,Standard Urban Commute Ride (10 km),Rideshare & Mobility,24.99,24.5,8.0,23.98,0.0,771,4.48,439,172.46,0.0,Budget,Winter,1,2,Wednesday,8,0,350.0,250.0,380,9496.2,6456.2
2025-01-08,RIDE_002,Premium Black Airport Transfer,Rideshare & Mobility,63.5,65.0,22.0,71.43,0.0,457,4.09,495,148.38,0.0,Budget,Winter,1,2,Wednesday,8,0,112.57,70.0,116,7366.0,4814.0
2025-01-09,APP_001,Premium Merino Wool Sweater,Apparel & Fashion,65.68,79.99,28.0,80.98,15.0,674,4.19,518,153.2,0.0,Standard,Winter,1,3,Thursday,9,0,103.0,55.0,102,6699.36,3843.36
2025-01-09,APP_002,Breathable Performance Running Shoes,Apparel & Fashion,121.8,119.99,42.0,129.21,0.0,114,4.37,478,208.64,0.0,Standard,Winter,1,3,Thursday,9,0,107.0,75.0,125,15225.0,9975.0
2025-01-09,APP_003,Classic Waterproof Trench Coat,Apparel & Fashion,139.23,149.99,55.0,157.4,10.0,124,4.11,519,10.41,0.0,Budget,Winter,1,3,Thursday,9,0,36.71,25.0,39,5429.97,3284.97
2025-01-09,ELEC_001,Pro Wireless Noise-Cancelling Headphones,Electronics,208.29,199.99,85.0,206.97,0.0,438,4.77,524,114.15,0.0,Standard,Winter,1,3,Thursday,9,0,57.14,45.0,58,12080.82,7150.82
2025-01-09,ELEC_002,Ultra HD 4K Smart TV 55-inch,Electronics,565.91,549.99,280.0,541.06,0.0,371,4.37,548,146.16,0.0,Budget,Winter,1,3,Thursday,9,0,27.14,20.0,25,14147.75,7147.75
2025-01-09,ELEC_003,Smart Fitness Watch Gen-4,Electronics,128.46,129.99,50.0,130.87,0.0,431,4.25,567,177.58,0.0,Standard,Winter,1,3,Thursday,9,0,88.86,60.0,88,11304.48,6904.48
2025-01-09,ELEC_004,Ergonomic Mechanical Keyboard,Electronics,86.92,89.99,35.0,84.16,0.0,187,4.18,514,174.49,0.0,Standard,Winter,1,3,Thursday,9,0,61.71,40.0,49,4259.08,2544.08
2025-01-09,HOME_001,Espresso Machine & Milk Frother,Home & Living,154.64,159.99,65.0,163.48,0.0,278,4.8,567,84.06,0.0,Premium,Winter,1,3,Thursday,9,0,44.86,30.0,40,6185.6,3585.6
2025-01-09,HOME_002,Cordless Handheld Vacuum Cleaner,Home & Living,73.38,99.99,40.0,96.01,25.0,281,4.16,582,153.03,0.0,Standard,Winter,1,3,Thursday,9,0,82.43,45.0,134,9832.92,4472.92
2025-01-09,HOSP_001,Deluxe City Center King Room (Per Night),Hospitality & Stays,127.96,175.0,45.0,182.93,25.0,148,4.8,590,226.66,0.0,Budget,Winter,1,3,Thursday,9,0,150.57,85.0,341,43634.36,28289.36
2025-01-09,HOSP_002,Executive Skyline Suite (Per Night),Hospitality & Stays,335.29,350.0,90.0,367.46,0.0,423,4.19,525,159.51,0.0,Premium,Winter,1,3,Thursday,9,0,21.14,15.0,19,6370.51,4660.51
2025-01-09,RIDE_001,Standard Urban Commute Ride (10 km),Rideshare & Mobility,23.29,24.5,8.0,22.63,0.0,405,4.88,575,169.45,0.0,Standard,Winter,1,3,Thursday,9,0,340.71,250.0,366,8524.14,5596.14
2025-01-09,RIDE_002,Premium Black Airport Transfer,Rideshare & Mobility,63.95,65.0,22.0,65.64,0.0,341,4.75,484,148.23,0.0,Standard,Winter,1,3,Thursday,9,0,112.43,70.0,116,7418.2,4866.2
2025-01-10,APP_001,Premium Merino Wool Sweater,Apparel & Fashion,83.07,79.99,28.0,75.52,0.0,595,4.65,465,192.6,0.0,Budget,Winter,1,4,Friday,10,0,102.86,55.0,79,6562.53,4350.53
2025-01-10,APP_002,Breathable Performance Running Shoes,Apparel & Fashion,85.52,119.99,42.0,122.69,25.0,533,4.55,478,150.17,0.0,Premium,Winter,1,4,Friday,10,0,110.14,75.0,114,9749.28,4961.28
